Building_Name_English,Building_Name_Traditional_Chinese,Address_English,Address_Traditional_Chinese,COCR_No,BEC_Edition,Issue_Date,Expiry_Date,Remark,Easting,Latitude,Longitude,Northing
"Sau Yun House","秀潤樓","Sau Ming Road, Sau Mau Ping, Kowloon","九龍秀茂坪秀明道","34-17407","2015",2020-03-20,2030-03-19,"","841904","22.31818","114.23157","819910"
"Temporary Building Extension for Staff Quarter Block B","Temporary Building Extension for Staff Quarter Block B","30-32 Ngan Shing Street, Shatin, N.T.","新界沙田銀城街30-32號","34-19139","2015",2020-03-23,2030-03-22,"","840722","22.21431","114.22007","808408"
"Mechanical Plant Room Building at Mt. La Vie","機電設備樓於南嶼嵩林","Cheung Sha, Lantau Island, N.T. (Lot No. 758 in D.D.332)","新界大嶼山長沙 (丈量約份第332號地段第758號)","34-18582","2015",2020-03-27,2030-03-26,"","813551","22.23669","113.95651","810902"
"Pooi To Primary School Educational Building","香港培道小學教育樓","3 Fuk Cheung Street, Ma Tau Chung, Kowloon","九龍馬頭涌福祥街3號","34-19553","2015",2020-03-27,2030-03-26,"","838025","22.46743","114.19395","836437"
"Property Development at West Rail Nam Cheong Station, N.K.I.L. 6333, Sham Shui Po, Kowloon - Royal Sky Mansion & Associated Podium Plant Room (known as L7)","九龍深水埗 N.K.I.L. 6333 西鐵南昌站上蓋物業發展 - 皇鑽匯及於平台相關的機電房","28 Sham Mong Road, Sham Shui Po, Kowloon","九龍深水埗深旺道28號","34-11010","2012 (Rev.1)",2020-03-27,2030-03-26,"","833779","22.32726","114.15272","820915"
"Property Development at West Rail Nam Cheong Station, N.K.I.L. 6333, Sham Shui Po, Kowloon - Aster Sky Mansion & Associated Podium Plant Room (known as L8)","九龍深水埗 N.K.I.L. 6333 西鐵南昌站上蓋物業發展 - 彗鑽匯及於平台相關的機電房","28 Sham Mong Road, Sham Shui Po, Kowloon","九龍深水埗深旺道28號","34-11011","2012 (Rev.1)",2020-03-27,2030-03-26,"","833748","22.32749","114.15242","820940"
"Property Development at West Rail Nam Cheong Station, N.K.I.L. 6333, Sham Shui Po, Kowloon - Tower 6 & Associated Podium Plant Room","九龍深水埗 N.K.I.L. 6333 西鐵南昌站上蓋物業發展 - 第6座及於平台相關的機電房","28 Sham Mong Road, Sham Shui Po, Kowloon","九龍深水埗深旺道28號","34-17081","2012 (Rev.1)",2020-03-27,2030-03-26,"","834293","22.32535","114.1577","820703"
"Property Development at West Rail Nam Cheong Station, N.K.I.L. 6333, Sham Shui Po, Kowloon - Tower 7 & Associated Podium Plant Room","九龍深水埗 N.K.I.L. 6333 西鐵南昌站上蓋物業發展 - 第7座及於平台相關的機電房","28 Sham Mong Road, Sham Shui Po, Kowloon","九龍深水埗深旺道28號","34-17082","2012 (Rev.1)",2020-03-27,2030-03-26,"","812233","22.36775","113.94351","825417"
"Property Development at West Rail Nam Cheong Station, N.K.I.L. 6333, Sham Shui Po, Kowloon - Tower 8 & Associated Podium Plant Room","九龍深水埗 N.K.I.L. 6333 西鐵南昌站上蓋物業發展 - 第8座及於平台相關的機電房","28 Sham Mong Road, Sham Shui Po, Kowloon","九龍深水埗深旺道28號","34-17083","2012 (Rev.1)",2020-03-27,2030-03-26,"","812233","22.36775","113.94351","825417"
"On Building","On Building","158-164 Queen's Road Central, Sheung Wan, Hong Kong","香港上環皇后大道中158-164號","34-18404","2015",2020-04-08,2030-04-07,"","834895","22.33231","114.16355","821474"
"Tung Wan Mok Law Shui Wah School","東灣莫羅瑞華學校","12 Wong Yin Street, Tuen Mun, N.T.","新界屯門旺賢街12號","34-17702","2015",2020-04-08,2030-04-07,"","814642","22.4026","113.96685","829272"
"23 D'Aguilar Street","23號德己立街","23-25 D'Aguilar Street, Central, Hong Kong","香港中環德己立街23-25號","34-17420","2012 (Rev.1)",2020-04-09,2030-04-08,"","834048","22.28113","114.15533","815806"
"Wings at Sea (Podium)","晉海 (平台)","1 Lohas Park Road, Tseung Kwan O, N.T.","新界將軍澳康城路1號","34-16597","2012 (Rev.1)",2020-04-14,2030-04-13,"","846045","22.29235","114.27175","817051"
"eResidence (Podium)","煥然懿居 (平台)","8 Hok Yuen Street, Hung Hom, Kowloon","九龍紅磡鶴園街8號","34-17988","2015",2020-04-15,2030-04-14,"","837402","22.31103","114.18788","819117"
"eResidence (Tower 1)","煥然懿居 (一座)","8 Hok Yuen Street, Hung Hom, Kowloon","九龍紅磡鶴園街8號","34-17989","2015",2020-04-15,2030-04-14,"","837397","22.31123","114.18784","819140"
"eResidence (Tower 2)","煥然懿居 (二座)","8 Hok Yuen Street, Hung Hom, Kowloon","九龍紅磡鶴園街8號","34-17990","2015",2020-04-15,2030-04-14,"","837397","22.31123","114.18784","819140"
"Downtown 38","Downtown 38","38 Pak Tai Street, Ma Tau Wai, Kowloon","九龍馬頭圍北帝街38號","34-17731","2015",2020-04-17,2030-04-16,"","837461","22.32094","114.18845","820214"
"W212","W212","212-214 Texaco Road, Tsuen Wan, N.T.","新界荃灣德士古道212-214號","34-18702","2015",2020-04-17,2030-04-16,"","830039","22.36446","114.11639","825035"
"ALVA HOTEL BY ROYAL","帝逸酒店","1 Yuen Hong Street, Sha Tin, New Territories","新界沙田源康街1號","34-16341","2012 (Rev.1)",2020-04-27,2030-04-26,"","839517","22.38371","114.20842","827166"
"1001 King's Road","1001 King's Road","1001 King's Road, Quarry Bay, Hong Kong","香港鰂魚涌英皇道1001號","34-17715","2015",2020-04-22,2030-04-21,"","839919","22.28503","114.2123","816239"
"8 Peel Rise","貝璐道8號","No. 8 Peel Rise, Hong Kong","香港貝璐道8號","34-10905","2012 (Rev.1)",2020-04-21,2030-04-20,"","833694","22.26456","114.1519","813972"
"Seaside Castle","畔海","9 Ching Lai Road, Tai Lam, Tuen Mun, N.T.","新界大欖澄麗路9號","34-17814","2015",2020-04-23,2030-04-22,"","819261","22.36536","114.01175","825143"
"Kowloon Tong Church of the Chinese Christian and Missionary Alliance Sheung Shui Church","香港九龍塘基督教中華宣道會上水堂","30 Lung Sum Avenue, Sheung Shui, N.T.","新界上水龍琛路30號","34-15758","2012 (Rev.1)",2020-04-21,2030-04-20,"","836486","22.33018","114.17899","821238"
"Harbour Glory - Tower 3","維港頌 - 第三座","32 City Garden Road, North Point, Hong Kong","香港北角城市花園道32號","34-10943","2012 (Rev.1)",2020-04-28,2030-04-27,"","837869","22.28913","114.19241","816693"
"Harbour Glory - Tower 5","維港頌 - 第五座","32 City Garden Road, North Point, Hong Kong","香港北角城市花園道32號","34-10944","2012 (Rev.1)",2020-04-28,2030-04-27,"","837869","22.28913","114.19241","816693"
"Harbour Glory - Tower 6","維港頌 - 第六座","32 City Garden Road, North Point, Hong Kong","香港北角城市花園道32號","34-10945","2012 (Rev.1)",2020-04-28,2030-04-27,"","837869","22.28913","114.19241","816693"
"Harbour Glory - Tower 7","維港頌 - 第七座","32 City Garden Road, North Point, Hong Kong","香港北角城市花園道32號","34-10946","2012 (Rev.1)",2020-04-28,2030-04-27,"","837869","22.28913","114.19241","816693"
"Upper East","環海東岸","23 Sung On Street, Hung Hom, Kowloon","九龍紅磡崇安街23號","34-17405","2015",2020-04-29,2030-04-28,"","837526","22.31296","114.18909","819331"
"Ground Transportation Waiting Building","Ground Transportation Waiting Building","Cheong Tat Road, Chek Lap Kok, N.T.","新界赤鱲角暢達路","34-19628","2015",2020-05-11,2030-05-10,"","811505","22.31579","113.93653","819664"
"University Heights - Tower 1","University Heights - Tower 1","42-44 Kotewall Road, Mid-Levels West, Hong Kong","香港西半山旭龢道42-44號","34-11073","2012 (Rev.1)",2020-05-11,2030-05-10,"","831462","22.2816","114.13024","815859"
"University Heights - Tower 2","University Heights - Tower 2","42-44 Kotewall Road, Mid-Levels West, Hong Kong","香港西半山旭龢道42-44號","34-11074","2012 (Rev.1)",2020-05-11,2030-05-10,"","832583","22.28181","114.14111","815882"
"University Heights - Tower 3","University Heights - Tower 3","42-44 Kotewall Road, Mid-Levels West, Hong Kong","香港西半山旭龢道42-44號","34-11075","2012 (Rev.1)",2020-05-11,2030-05-10,"","832589","22.2821","114.14118","815914"
"University Heights - Podium","University Heights - Podium","42-44 Kotewall Road, Mid-Levels West, Hong Kong","香港西半山旭龢道42-44號","34-11076","2012 (Rev.1)",2020-05-11,2030-05-10,"","842942","22.43272","114.2417","832594"
"WE Hotel Kowloon","九龍伯惠酒店","3-5 Temple Street, Yau Ma Tei, Kowloon","九龍油麻地廟街3-5號","34-17729","2015",2020-05-11,2030-05-10,"","835558","22.31164","114.16998","819185"
"MONTI","逸瑆","9 Sai Wan Ho Street, Sai Wan Ho, Hong Kong","香港西灣河西灣河街9號","34-18090","2015",2020-05-13,2030-05-12,"","841193","22.27969","114.22466","815647"
"Solaria - Tower 1","嘉熙 - 第一座","16 Fo Chun Road, Tai Po, N.T.","新界大埔科進路16號","34-18019","2015",2020-05-15,2030-05-14,"","839145","22.42901","114.20482","832182"
"Solaria - Tower 2","嘉熙 - 第二座","16 Fo Chun Road, Tai Po, N.T.","新界大埔科進路16號","34-18020","2015",2020-05-15,2030-05-14,"","839145","22.42901","114.20482","832182"
"Solaria - Tower 3","嘉熙 - 第三座","16 Fo Chun Road, Tai Po, N.T.","新界大埔科進路16號","34-18021","2015",2020-05-15,2030-05-14,"","839145","22.42901","114.20482","832182"
"Solaria - Tower 5","嘉熙 - 第五座","16 Fo Chun Road, Tai Po, N.T.","新界大埔科進路16號","34-18022","2015",2020-05-15,2030-05-14,"","839145","22.42901","114.20482","832182"
"Solaria - Tower 6","嘉熙 - 第六座","16 Fo Chun Road, Tai Po, N.T.","新界大埔科進路16號","34-18023","2015",2020-05-15,2030-05-14,"","839145","22.42901","114.20482","832182"
"Solaria - Tower 7","嘉熙 - 第七座","16 Fo Chun Road, Tai Po, N.T.","新界大埔科進路16號","34-18024","2015",2020-05-15,2030-05-14,"","839145","22.42901","114.20482","832182"
"Solaria - Tower 8","嘉熙 - 第八座","16 Fo Chun Road, Tai Po, N.T.","新界大埔科進路16號","34-18025","2015",2020-05-15,2030-05-14,"","839145","22.42901","114.20482","832182"
"Solaria - Tower 9","嘉熙 - 第九座","16 Fo Chun Road, Tai Po, N.T.","新界大埔科進路16號","34-18026","2015",2020-05-15,2030-05-14,"","839145","22.42901","114.20482","832182"
"Solaria - Tower 10","嘉熙 - 第十座","16 Fo Chun Road, Tai Po, N.T.","新界大埔科進路16號","34-18027","2015",2020-05-15,2030-05-14,"","839145","22.42901","114.20482","832182"
"Solaria - Podium","嘉熙 - 平台","16 Fo Chun Road, Tai Po, N.T.","新界大埔科進路16號","34-18028","2015",2020-05-15,2030-05-14,"","839145","22.42901","114.20482","832182"
"Customs Detector Dog Group Heung Yuen Wai Dog Base","香港海關搜查犬課香園圍搜查犬基地","Liantang / Heung Yuen Wai Boundary Control Point Buildings and Associated Facilites , Sheung Shui, New Territories","新界上水蓮塘/香園圍口岸","34-16158","2012 (Rev.1)",2020-05-25,2030-05-24,"","820211","22.36361","114.02097","824948"
"Heung Yuen Wai Operation Base","香園圍行動基地","Liantang / Heung Yuen Wai Boundary Control Point Buildings and Associated Facilites , Sheung Shui, New Territories","新界上水蓮塘/香園圍口岸","34-16159","2012 (Rev.1)",2020-05-25,2030-05-24,"","837569","22.30752","114.1895","818729"
"Heung Yuen Wai Fire Station","香園圍消防局","Liantang / Heung Yuen Wai Boundary Control Point Buildings and Associated Facilites , Sheung Shui, New Territories","新界上水蓮塘/香園圍口岸","34-16160","2012 (Rev.1)",2020-05-25,2030-05-24,"","818256","22.45033","114.00188","834553"
"C&ED Inbound Cargo Examination Building","香港海關入境貨物檢查大樓","Liantang / Heung Yuen Wai Boundary Control Point Buildings and Associated Facilites , Sheung Shui, New Territories","新界上水蓮塘/香園圍口岸","34-16161","2012 (Rev.1)",2020-05-25,2030-05-24,"","820211","22.36361","114.02097","824948"
"C&ED Outbound Cargo Examination Building","香港海關出境貨物檢查大樓","Liantang / Heung Yuen Wai Boundary Control Point Buildings and Associated Facilites , Sheung Shui, New Territories","新界上水蓮塘/香園圍口岸","34-16162","2012 (Rev.1)",2020-05-25,2030-05-24,"","820211","22.36361","114.02097","824948"
"C&ED Inbound Vehicle X-Ray Inspection Building","香港海關入境車檢X光檢查大樓","Liantang / Heung Yuen Wai Boundary Control Point Buildings and Associated Facilites , Sheung Shui, New Territories","新界上水蓮塘/香園圍口岸","34-16163","2012 (Rev.1)",2020-05-25,2030-05-24,"","835866","22.27978","114.17297","815657"
"C&ED Outbound Vehicle X-Ray Inspection Building","香港海關出境車檢X光檢查大樓","Liantang / Heung Yuen Wai Boundary Control Point Buildings and Associated Facilites , Sheung Shui, New Territories","新界上水蓮塘/香園圍口岸","34-16164","2012 (Rev.1)",2020-05-25,2030-05-24,"","838988","22.2927","114.20327","817088"
"AYTON","雋睿","16 and 18 Inverness Road, Kowloon Tong, Kowloon","九龍九龍塘延文禮士道16及18號","34-17485","2015",2020-05-22,2030-05-21,"","837191","22.33095","114.18583","821323"
"Harbour North (Phase 2)","北角匯 (二期)","123 Java Road, North Point, Hong Kong","香港北角渣華道123號","34-17824","2015",2020-05-26,2030-05-25,"","838580","22.29276","114.19931","817094"
"Club House Extension for The Hong Kong Jockey Club","","25 Shan Kwong Road, Happy Valley, Hong Kong","香港跑馬地山光道25號","34-18163","2015",2020-05-27,2030-05-26,"","831329","22.27882","114.12895","815551"
"Harbour East","港匯東","218 Electric Road, North Point, Hong Kong","香港北角電氣道218號","34-18275","2015",2020-06-01,2030-05-31,"","841509","22.27738","114.22773","815392"
"North Point Community Hall / North Point Welfare Facilities Block","北角社區會堂 / 北角福利服務設施大樓","123 Java Road, North Point, Hong Kong","香港北角渣華道123號","34-17825","2015",2020-06-01,2030-05-31,"","830834","22.37416","114.12411","826109"
"iclub Sheung Wan II Hotel","富薈上環II酒店","5 Bonham Strand West, Sheung Wan, Hong Kong","香港上環文咸西街5號","34-18108","2015",2020-06-02,2030-06-01,"","833421","22.28635","114.14925","816385"
"Anderson Road Site C2 Phase 1 - District Open Space (Office Block)","安達臣道地盤丙二第一期 - 地區休憩用地(辦公大樓)","Lot No. GLA-NK808, On Sau Road, Kwun Tong, Kowloon","九龍觀塘安秀道地段GLA-NK808","34-18743","2015",2020-06-03,2030-06-02,"","841648","22.33289","114.2291","821539"
"Mei Hei House","美禧樓","66 Shek Kip Mei Street, Sham Shui Po, Kowloon","九龍深水埗石硤尾街66號","34-17456","2015",2020-06-09,2030-06-08,"","835293","22.33185","114.16741","821423"
"Mei Pak House","美柏樓","66 Shek Kip Mei Street, Sham Shui Po, Kowloon","九龍深水埗石硤尾街66號","34-17463","2015",2020-06-09,2030-06-08,"","835241","22.33131","114.1669","821363"
"Market Complex","街市綜合大樓","66 Shek Kip Mei Street, Sham Shui Po, Kowloon","九龍深水埗石硤尾街66號","34-17464","2015",2020-06-09,2030-06-08,"","835188","22.44627","114.16638","834093"
"Shatin to Central Link - Diamond Hill Station","沙中線 - 鑽石山站","Diamond Hill, Kowloon","九龍鑽石山","34-06959","2012",2020-06-15,2030-06-14,"","834162","22.33857","114.15643","822167"
"Starphire Hotel","星淮酒店","103-105 Tung Chau Street, Tai Kok Tsui, Kowloon","九龍大角咀通州街103-105號","34-17994","2015",2020-06-15,2030-06-14,"","835625","22.31099","114.17064","819112"
"Malibu (Podium)","","1 Lohas Park Road, Tseung Kwan O, N.T.","","34-17389","2015",2020-06-15,2030-06-14,"","837179","22.26756","114.18571","814304"
"Malibu (Tower 1)","","1 Lohas Park Road, Tseung Kwan O, N.T.","","34-17652","2015",2020-06-15,2030-06-14,"","845644","22.29619","114.26786","817477"
"Malibu (Tower 2)","","1 Lohas Park Road, Tseung Kwan O, N.T.","","34-17653","2015",2020-06-15,2030-06-14,"","845688","22.29627","114.26829","817486"
"Malibu (Tower 3)","","1 Lohas Park Road, Tseung Kwan O, N.T.","","34-17654","2015",2020-06-15,2030-06-14,"","845732","22.29639","114.26872","817499"
"Kai Bo 22","佳宝22","22 Wing Kin Road, Kwai Chung, N.T.","新界葵涌永建路22號","34-18565","2015",2020-06-18,2030-06-17,"","830322","22.35952","114.11914","824488"
"One．ArtLane","藝里坊‧1號","6-22 Chung Ching Street, Sai Ying Pun, Hong Kong","香港西營盤忠正街6-22號","34-18719","2015",2020-06-22,2030-06-21,"","832606","22.28737","114.14134","816497"
"Proposed Holiday Camp Development (Main Block)","","Wang Tong, Mui Wo, Lantau Island, N.T. (Lot No. 738 in D.D.2)","","34-10975","2012 (Rev.1)",2020-06-22,2030-06-21,"","821380","22.41172","114.03227","830274"
"Canton House","豐樂行","56 Queen's Road Central, Central, Hong Kong","香港中環皇后大道中56號","34-18278","2015",2020-06-24,2030-06-23,"","834111","22.28229","114.15595","815935"
"28 Wing Lap Street","","28 Wing Lap Street, Kwai Chung, N.T.","新界葵涌永立街28號","34-18276","2015",2020-06-24,2030-06-23,"","830223","22.35814","114.11818","824335"
"Yau Ma Tei Temporary Maternal and Child Health Centre","油麻地母嬰健康院","10 Yan Cheung Road , Yau Ma Tei, Kowloon","九龍油麻地欣翔道10號","34-19008","2015",2020-06-29,2030-06-28,"","835215","22.30928","114.16665","818923"
"Hotel Alexandra","歷山酒店","32 City Garden Road, North Point, Hong Kong","香港北角城市花園道32號","34-10940","2012 (Rev.1)",2020-06-30,2030-06-29,"","837851","22.28732","114.19223","816492"
"St Martin Development (Podium - Clubhouse)","雲滙 (平台 - 會所)","12 Fo Chun Road, Pak Shek Kok, N.T.","新界白石角科進路12號","34-17414","2015",2020-06-30,2030-06-29,"","843813","22.43043","114.25017","832341"
"St Martin Development (Podium - Basement Carpark)","雲滙 (平台 - 地下停車場)","12 Fo Chun Road, Pak Shek Kok, N.T.","新界白石角科進路12號","34-18904","2015",2020-06-30,2030-06-29,"","844663","22.32041","114.25835","820158"
"St Martin Development (Tower 1)","雲滙 (第一座)","12 Fo Chun Road, Pak Shek Kok, N.T.","新界白石角科進路12號","34-17556","2015",2020-06-30,2030-06-29,"","842577","22.31082","114.2381","819095"
"St Martin Development (Tower 2)","雲滙 (第二座)","12 Fo Chun Road, Pak Shek Kok, N.T.","新界白石角科進路12號","34-17557","2015",2020-06-30,2030-06-29,"","842577","22.31082","114.2381","819095"
"St Martin Development (Tower 3)","雲滙 (第三座)","12 Fo Chun Road, Pak Shek Kok, N.T.","新界白石角科進路12號","34-17558","2015",2020-06-30,2030-06-29,"","842577","22.31082","114.2381","819095"
"St Martin Development (Tower 5)","雲滙 (第五座)","12 Fo Chun Road, Pak Shek Kok, N.T.","新界白石角科進路12號","34-17559","2015",2020-06-30,2030-06-29,"","842577","22.31082","114.2381","819095"
"St Martin Development (Tower 6)","雲滙 (第六座)","12 Fo Chun Road, Pak Shek Kok, N.T.","新界白石角科進路12號","34-17560","2015",2020-06-30,2030-06-29,"","842577","22.31082","114.2381","819095"
"St Martin Development (Tower 7)","雲滙 (第七座)","12 Fo Chun Road, Pak Shek Kok, N.T.","新界白石角科進路12號","34-17561","2015",2020-06-30,2030-06-29,"","842577","22.31082","114.2381","819095"
"St Martin Development (Tower 8)","雲滙 (第八座)","12 Fo Chun Road, Pak Shek Kok, N.T.","新界白石角科進路12號","34-17562","2015",2020-06-30,2030-06-29,"","842577","22.31082","114.2381","819095"
"St Martin Development (Tower 9)","雲滙 (第九座)","12 Fo Chun Road, Pak Shek Kok, N.T.","新界白石角科進路12號","34-17563","2015",2020-06-30,2030-06-29,"","842577","22.31082","114.2381","819095"
"St Martin Development (Tower 10)","雲滙 (第十座)","12 Fo Chun Road, Pak Shek Kok, N.T.","新界白石角科進路12號","34-17564","2015",2020-06-30,2030-06-29,"","842577","22.31082","114.2381","819095"
"St Martin Development (Tower 11)","雲滙 (第十一座)","12 Fo Chun Road, Pak Shek Kok, N.T.","新界白石角科進路12號","34-17565","2015",2020-06-30,2030-06-29,"","842577","22.31082","114.2381","819095"
"Novum West","翰林峰","460 Queen's Road West, Western District, Hong Kong","香港西區皇后大道西460號","34-17738","2015",2020-06-29,2030-06-28,"","832111","22.28554","114.13653","816295"
"The Astro","悅雅","310 Un Chau Street, Cheung Sha Wan, Kowloon","九龍長沙灣元州街310號","34-17873","2015",2020-07-08,2030-07-07,"","834337","22.33651","114.15813","821939"
"Cetus Square Mile","利奧坊‧凱岸","18 Ka Shin Street, Tai Kok Tsui, Kowloon","九龍大角咀嘉善街18號","34-17380","2015",2020-07-10,2030-07-09,"","834649","22.32015","114.16116","820127"
"THE QUAY","晉匯","411 Chatham Road North, Ho Man Tin, Kowloon","九龍何文田漆咸道北411號","34-18706","2015",2020-07-10,2030-07-09,"","837198","22.31211","114.1859","819237"
"K11 Atelier King's Road","","728 King's Road, North Point, Hong Kong","香港北角英皇道728號","34-17519","2015",2020-07-10,2030-07-09,"","839415","22.29137","114.20741","816940"
"Mount Verdant","翠嶺峰","48 Chui Ling Road, Tseung Kwan O, N.T.","新界將軍澳翠嶺路48號","34-18161","2015",2020-07-15,2030-07-14,"","843962","22.30768","114.25155","818748"
"Property Development at West Rail Nam Cheong Station, N.K.I.L. 6333, Sham Shui Po, Kowloon - Residents' Clubhouse, 6/F (Portion) & 7/F (Portion)","九龍深水埗 N.K.I.L. 6333 西鐵南昌站上蓋物業發展 - 六樓(部份)及七樓(部份)住客會所","28 Sham Mong Road, Sham Shui Po, Kowloon","九龍深水埗深旺道28號","34-11000","2012 (Rev.1)",2020-07-15,2030-07-14,"","838469","22.43273","114.19826","832594"
"Proposed Residential Development at Junction of Shouson Hill Road West and Wong Chuk Hang Path Lot No. 1198","壽臣山道西與黃竹坑徑交界住宅發展項目","Junction of Shouson Hill Road West and Wong Chuk Hang Path, Southern District, Hong Kong","香港南區壽臣山道西與黃竹坑徑交界","34-18701","2015",2020-07-20,2030-07-19,"","836583","22.25077","114.17993","812445"
"Yau Ma Tei Methadone Clinic - Phase 1","油麻地美沙酮診所第一期","145 Battery Street , Yau Ma Tei, Kowloon","九龍油麻地炮台街145號","34-18583","2015",2020-07-20,2030-07-19,"","836318","22.31606","114.17736","819674"
"Yau Ma Tei Methadone Clinic - Phase 2","油麻地美沙酮診所第二期","145 Battery Street , Yau Ma Tei, Kowloon","九龍油麻地炮台街145號","34-19123","2015",2020-07-20,2030-07-19,"","836318","22.31606","114.17736","819674"
"COO Residence","城·點","8 Kai Fat Path, Tuen Mun, N.T.","新界屯門啓發徑8號","34-17717","2015",2020-07-21,2030-07-20,"","815580","22.39498","113.97597","828427"
"Public Carpark & Public Transport Interchange and Passenger Terminal Building","公共停車場及公共運輸交匯處及客運大樓","Liantang / Heung Yuen Wai Boundary Control Point Buildings and Associated Facilites, New Territories","新界上水蓮塘/香園圍口岸","34-16165","2012 (Rev.1)",2020-07-24,2030-07-23,"","813029","22.31806","113.95132","819914"
"C&ED Inbound Private Car Examination Building & C&ED Mobile X-Ray Operation Area (Inbound Private Car & Coach)","香港海關入境私家車檢查大樓及香港海關流動X光操作區 (入境私家車及旅遊巴","Liantang / Heung Yuen Wai Boundary Control Point Buildings and Associated Facilites, New Territories","新界上水蓮塘/香園圍口岸","34-16166","2012 (Rev.1)",2020-07-24,2030-07-23,"","832551","22.49545","114.14076","839539"
"C&ED Outbound Private Car Examination Building & C&ED Mobile X-Ray Operation Area (Outbound Private Car & Coach)","香港海關出境私家車檢查大樓及香港海關流動X光操作區 (出境私家車及旅遊巴士)","Liantang / Heung Yuen Wai Boundary Control Point Buildings and Associated Facilites, New Territories","新界上水蓮塘/香園圍口岸","34-16167","2012 (Rev.1)",2020-07-24,2030-07-23,"","832551","22.49545","114.14076","839539"
"The Entrance (Podium & Recreational Facilities)","峻源 (平台及會所設施)","1 Lok Wo Sha Lane, Sha Tin, N.T.","新界沙田落禾沙里1號","34-18004","2015",2020-07-28,2030-07-27,"","843517","22.4296","114.24729","832249"
"The Entrance (Tower 1)","峻源 (一座)","1 Lok Wo Sha Lane, Sha Tin, N.T.","新界沙田落禾沙里1號","34-18005","2015",2020-07-28,2030-07-27,"","843517","22.4296","114.24729","832249"
"The Entrance (Tower 2)","峻源 (二座)","1 Lok Wo Sha Lane, Sha Tin, N.T.","新界沙田落禾沙里1號","34-18006","2015",2020-07-28,2030-07-27,"","843517","22.4296","114.24729","832249"
"The Entrance (Tower 3)","峻源 (三座)","1 Lok Wo Sha Lane, Sha Tin, N.T.","新界沙田落禾沙里1號","34-18007","2015",2020-07-28,2030-07-27,"","843517","22.4296","114.24729","832249"
"9 and 11 Lok Chui Street","House 1 and House 2
樂翠街9及11號","9 and 11 Lok Chui Street, Tuen Mun, N.T.","新界屯門樂翠街9及11號","34-18872","2015",2020-07-24,2030-07-23,"","844877","22.34003","114.26045","822331"
"SCL Hin Keng Station","沙中線 顯徑站","Che Kung Miu Road , Sha Tin, N.T.","新界沙田車公廟路","34-06611","2012",2020-08-07,2030-08-06,"","835956","22.36429","114.17384","825015"
"Kwun Tak Court - Kuwn Cheong House (Block A)","冠德苑 - 冠昌閣 (A座)","5 Sheung Lok Street, Homantin, Kowloon","九龍何文田常樂街5號","34-17733","2015",2020-08-07,2030-08-06,"","836990","22.31423","114.18388","819471"
"Kwun Tak Court - Kuwn Shing House (Block B)","冠德苑 - 冠盛閣 (B座)","5 Sheung Lok Street, Homantin, Kowloon","九龍何文田常樂街5號","34-16958","2012 (Rev.1)",2020-08-07,2030-08-06,"","837005","22.31459","114.18402","819512"
"Kwun Tak Court - Kuwn Wing House (Block C)","冠德苑 - 冠榮閣 (C座)","5 Sheung Lok Street, Homantin, Kowloon","九龍何文田常樂街5號","34-17708","2015",2020-08-07,2030-08-06,"","836965","22.31497","114.18364","819553"
"Kwun Tak Court - Carpark","冠德苑 - 停車場","5 Sheung Lok Street, Homantin, Kowloon","九龍何文田常樂街5號","34-18174","2015",2020-08-07,2030-08-06,"","822575","22.3624","114.04393","824812"
"Block D, Shatin Hospital","沙田醫院D座","29 A Kung Kok Street , Ma On Shan, Shatin, N.T.","新界沙田馬鞍山亞公角街29號","34-19094","2015",2020-08-06,2030-08-05,"","840037","22.39975","114.21348","828943"
"35 QRC","金利豐中心","35 Queen's Road Central, Central, Hong Kong","香港中環皇后大道中35號","34-18634","2015",2020-08-14,2030-08-13,"","834154","22.2823","114.15636","815936"
"Aurora (Tower 1)","映日灣 (一座)","88 Yeung Uk Road, Tsuen Wan, N.T.","新界荃灣楊屋道88號","34-17809","2015",2020-08-19,2030-08-18,"","829856","22.36691","114.11462","825307"
"Aurora (Tower 2)","映日灣 (二座)","88 Yeung Uk Road, Tsuen Wan, N.T.","新界荃灣楊屋道88號","34-17810","2015",2020-08-19,2030-08-18,"","829856","22.36691","114.11462","825307"
"Aurora (Tower 3)","映日灣 (三座)","88 Yeung Uk Road, Tsuen Wan, N.T.","新界荃灣楊屋道88號","34-17811","2015",2020-08-19,2030-08-18,"","829856","22.36691","114.11462","825307"
"AJI House","AJI House","363 Queen's Road West, Sai Ying Pun, Hong Kong","香港西營盤皇后大道西363號","34-17692","2015",2020-08-18,2030-08-17,"","832439","22.28695","114.13972","816451"
"SOL CITY (Podium)","朗城滙 (平台)","1 Ma Wang Road, Yuen Long, N.T.","新界元朗媽橫路1號","34-18130","2015",2020-08-24,2030-08-23,"","820610","22.44734","114.02476","834219"
"SOL CITY (Tower 1)","朗城滙 (第1座)","1 Ma Wang Road, Yuen Long, N.T.","新界元朗媽橫路1號","34-18131","2015",2020-08-24,2030-08-23,"","820610","22.44734","114.02476","834219"
"SOL CITY (Tower 2)","朗城滙 (第2座)","1 Ma Wang Road, Yuen Long, N.T.","新界元朗媽橫路1號","34-18132","2015",2020-08-24,2030-08-23,"","820642","22.44693","114.02507","834174"
